FECHA,TONELADAS DISPUESTAS,ACUMULADO,LUGAR DE ORIGEN,LUGAR DE DISPOSICIÓN
04/30/2024 12:00:00 AM,2.21,505.55,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/03/2024 12:00:00 AM,5.44,510.99,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/03/2024 12:00:00 AM,8.53,519.52,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/06/2024 12:00:00 AM,4.4,523.92,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/06/2024 12:00:00 AM,5.84,529.76,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/10/2024 12:00:00 AM,4.19,533.95,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/10/2024 12:00:00 AM,8.9,542.85,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/14/2024 12:00:00 AM,5.52,548.37,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/14/2024 12:00:00 AM,8.78,557.15,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/15/2024 12:00:00 AM,6.74,563.89,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/17/2024 12:00:00 AM,7.56,571.45,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/18/2024 12:00:00 AM,3.61,575.06,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/20/2024 12:00:00 AM,7.54,582.6,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/21/2024 12:00:00 AM,3.7,586.3,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/24/2024 12:00:00 AM,8.5,594.8,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/24/2024 12:00:00 AM,4.84,599.64,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/27/2024 12:00:00 AM,8.2,607.84,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/28/2024 12:00:00 AM,3.16,611,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/29/2024 12:00:00 AM,6.79,617.79,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/31/2024 12:00:00 AM,4.35,622.14,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
05/31/2024 12:00:00 AM,8.65,630.79,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/04/2024 12:00:00 AM,6.4,637.19,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/04/2024 12:00:00 AM,8.15,645.34,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/07/2024 12:00:00 AM,7.73,653.07,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/07/2024 12:00:00 AM,3.2,656.27,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/11/2024 12:00:00 AM,8.53,664.8,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/11/2024 12:00:00 AM,6.47,671.27,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/12/2024 12:00:00 AM,6.14,677.41,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/14/2024 12:00:00 AM,6.9,684.31,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/15/2024 12:00:00 AM,4.38,688.69,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/17/2024 12:00:00 AM,7.55,696.24,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/18/2024 12:00:00 AM,3.5,699.74,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/21/2024 12:00:00 AM,8.43,708.17,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/21/2024 12:00:00 AM,6.46,714.63,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/24/2024 12:00:00 AM,6.89,721.52,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/25/2024 12:00:00 AM,3.46,724.98,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/26/2024 12:00:00 AM,5.4,730.38,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/28/2024 12:00:00 AM,5.73,736.11,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
06/28/2024 12:00:00 AM,8.23,744.34,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/02/2024 12:00:00 AM,8.25,752.59,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/03/2024 12:00:00 AM,7.18,759.77,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/05/2024 12:00:00 AM,8.53,768.3,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/06/2024 12:00:00 AM,4.01,772.31,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/08/2024 12:00:00 AM,7.44,779.75,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/09/2024 12:00:00 AM,3.79,783.54,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/10/2024 12:00:00 AM,5.95,789.49,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/12/2024 12:00:00 AM,8.62,798.11,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/14/2024 12:00:00 AM,6.27,804.38,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/15/2024 12:00:00 AM,7.09,811.47,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/17/2024 12:00:00 AM,4.42,815.89,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/19/2024 12:00:00 AM,8.28,824.17,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/20/2024 12:00:00 AM,7.82,831.99,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/22/2024 12:00:00 AM,7.23,839.22,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/23/2024 12:00:00 AM,4.28,843.5,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/24/2024 12:00:00 AM,5.64,849.14,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/26/2024 12:00:00 AM,8.49,857.63,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/27/2024 12:00:00 AM,5.59,863.22,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/29/2024 12:00:00 AM,7.91,871.13,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
07/31/2024 12:00:00 AM,3.42,874.55,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/02/2024 12:00:00 AM,5.59,880.14,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/02/2024 12:00:00 AM,8.3,888.44,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/05/2024 12:00:00 AM,7.57,896.01,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/06/2024 12:00:00 AM,5,901.01,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/07/2024 12:00:00 AM,3.98,904.99,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
