TIPO,NOMBRE,SECTOR,CODCUE,CUENCA,CODSCUE,SUBCUENCA,CODMCUE,MICROCUENCA,VOLUMEN,OBSERVACION,IDTABINV,CODHIDRO,OBJECTID,AMBIENTEHidrografia_CAguAREA
603,Laguna,RURAL,2119,Río Sumapaz,211910,Río Cuja,,ND,,,,,357,216.02575005
603,Laguna sector Drenaje Q. Santa Ana 2,RURAL DC,2120,Río Bogotá,212020,Fucha,21202009,Río San Francisco,,,,21202009092,358,305.99537394
603,Laguna Negra,RURAL,3502,Río Guayuriba,350217,Río Santa Rosa,,ND,,,,,359,76600.91803106
601,Río Taquegrande,RURAL,3502,Río Guayuriba,350217,Río Santa Rosa,,ND,,,,,360,52990.82958632
603,Laguna,RURAL,3503,Río Guatiquía,350301,Río Chuza - Embalse de Chuza,,ND,,,,,361,15140.23983319
603,Laguna,RURAL,3506,Río Guavio,350616,Río Guavio,,ND,,,,,362,53.16022417
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,363,240.96015235
601,Río Panches (Chocho),RURAL,2119,Río Sumapaz,211911,Río Panches,,ND,, Area M2: 1234192,,,364,1234217.03130911
601,Río Sumapaz,RURAL,2119,Río Sumapaz,211903,Directos al Sumapaz Melgar - Nilo,,ND,, Area M2: 1161378,,,365,1161490.47376681
603,Lago Club El Rancho 3,RURAL,2120,Río Bogotá,212007,Sector Tibitoc - Soacha,,ND,,,,,366,5445.4800136
603,Laguna 12 Sector Olarte,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200604,Río Tunjuelo Alto,,,,21200604295,367,219.01871851
601,Río Salinero,RURAL,3506,Río Guavio,350607,Río Salinero,,ND,,,,,368,73837.362117
603,Laguna,RURAL,2120,Río Bogotá,212009,Embalse Tominé,,ND,,,,,369,22965.13773311
603,Laguna,RURAL,3506,Río Guavio,350616,Río Guavio,,ND,,,,,370,48.03045064
603,Laguna,RURAL,3503,Río Guatiquía,,ND,,ND,,,,,371,1018.23695994
603,Laguna,RURAL,3506,Río Guavio,350610,Río Chorrera,,ND,,,,,372,7174.0359812
603,Laguna Verde,RURAL,2120,Río Bogotá,212013,Río Neusa,,ND,,,,,373,149452.75597818
601,Río Los Medios o Blanco,RURAL,3502,Río Guayuriba,350243,Río Blanco y Directos,,ND,,,,,374,735367.84838774
601,Río Sumapaz,RURAL,2119,Río Sumapaz,211903,Directos al Sumapaz Melgar - Nilo,,ND,,,,,375,29901.38403918
603,Laguna 1 Sector Q. Jaulas,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200609,Río Curubital,,,,21200609469,376,1867.23315226
603,Lago Club Pueblo Viejo 5,RURAL,2120,Río Bogotá,212007,Sector Tibitoc - Soacha,,ND,,,,,377,153.52293739
603,Laguna 1 Sector Q. La Leona,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200607,Río Chisacá,,,,21200607506,378,1125.86095538
603,Laguna Chigaito 1,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200607,Río Chisacá,,,,21200607505,379,1491.50221161
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,380,281.94811989
603,Laguna 6 Sector La Regadera,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200604,Río Tunjuelo Alto,,,,21200604282,381,713.02164296
603,Laguna 2 Sector Q. de Fucha,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200610,Quebrada de Fucha,,,,21200610117,382,402.36935656
603,Laguna 6 Sector Olarte,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200604,Río Tunjuelo Alto,,,,21200604289,383,496.16089409
603,Laguna,RURAL,3503,Río Guatiquía,350305,Río Guajaro,,ND,,,,,384,6681.13135339
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,385,50004.82152604
606,Quebrada Quisquiza,RURAL,3502,Río Guayuriba,350220,Quebrada Chisquiza,,ND,,,,,386,158159.89364083
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,387,2112.52358146
604,Humedal Tres Esquinas,RURAL,2120,Río Bogotá,212007,Sector Tibitoc - Soacha,,ND,,,,,388,724638.04518969
603,Pondaje Rivera 2,RURAL DC,2120,Río Bogotá,212020,Fucha,21202001,Canal Cundinamarca,,,,21202001034,389,7225.56747046
603,Lago Club Los Arrayanes 7,RURAL DC,2120,Río Bogotá,212022,Torca,21202202,Conejera,,,,21202202011,390,8044.39432142
604,Humedal del Yulo Ricaurte,RURAL,2120,Río Bogotá,212001,Río Bajo Bogotá,,ND,,,,,391,484802.71310904
603,Laguna,RURAL,2120,Río Bogotá,212009,Embalse Tominé,,ND,,,,,392,10520.10599778
603,Laguna Q. Novita,RURAL DC,2120,Río Bogotá,212022,Torca,21202201,Canal Guaymaral,,,,21202201059,393,1001.61925483
603,Laguna,RURAL,2120,Río Bogotá,212007,Sector Tibitoc - Soacha,,ND,,,,,394,48768.23464369
601,Río Ocoa,RURAL,3503,Río Guatiquía,,ND,,ND,, Area M2: 5711923,,,395,5712663.40231625
603,Laguna,RURAL,3503,Río Guatiquía,350306,Quebrada Blanca,,ND,,,,,396,4655.58925925
601,Río Gallo,RURAL,3502,Río Guayuriba,350224,Río Gallo,,ND,,,,,397,359846.025014
603,Laguna,RURAL,2120,Río Bogotá,212003,Río Medio Bogotá,,ND,,,,,398,187655.41049148
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,399,518.46237318
603,Laguna,RURAL,2120,Río Bogotá,212007,Sector Tibitoc - Soacha,,ND,,,,,400,650.70333566
603,Laguna Sector El Hato,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200608,Río Lechoso o Mugroso,,,,21200608474,401,388.30399887
603,Laguna,RURAL,3503,Río Guatiquía,350303,Río Guatiquía,,ND,,,,,402,3958.36063443
603,Lago Club Pueblo Viejo 9,RURAL,2120,Río Bogotá,212007,Sector Tibitoc - Soacha,,ND,,,,,403,5923.78632319
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,404,780.8915353
606,Quebrada Borracheros,RURAL,3502,Río Guayuriba,350243,Río Blanco y Directos,,ND,,,,,405,62904.32619995
603,Laguna,RURAL,2120,Río Bogotá,212007,Sector Tibitoc - Soacha,,ND,,,,,406,5356.94016838
603,Laguna,RURAL,2120,Río Bogotá,212014,Río Frío,,ND,,,,,407,303089.59956521
602,Canal,RURAL,2120,Río Bogotá,212014,Río Frío,,ND,,,,,408,15556.77002505
603,Laguna 14 Sector Olarte,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200604,Río Tunjuelo Alto,,,,21200604297,409,310.1307782
